product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai

Clungene Covid-19 Antigen Rapid Test Cassette 1 Kit,Alat Kesehatan, Clungene Covid-19 Antigen Rapid Test Cassette 1 Kit merupakan alat test visual immunoassay yang ditujukan untuk pemeriksaan secara kualitatif antigen nukleokapsid SARS Cov-2 pada swab nasal dari individu yang diduga terpapar Covid. ," Sebagai alat kesehatan in vitro diagnostik tes cepat untuk mendeteksi Antigen SARS-COV-2 pada pasien yang diduga terinfeksi COVID-19.
Dalam 1 kit di lengkapi dengan : 1 Pcs Test Cassettes (dikemas individual pouch alumunium foil), 1 Pcs Extraction tubes, 1 Pcs Sterilize swabs, 1 Pcs Dropper tips, 1 Pcs Extraction reagents. ", 0 ," Pemeriksaan sebaiknya dilakukan oleh penyedia layanan kesehatan. 
Dapat digunakan untuk pemakaian mandiri. 
Pengambilan Sampel swab melalui Nasal (Hidung): Masukan swab steril dengan hati-hati ke dalam lubang hidung. Kedalaman usap kurang lebih 2,5 cm. Putar sebanyak 5 kali.

Cara Pemakaian Swab Antigen Rapid Test Clungene: 
1. Buka extraction tube yang sudah berisi reagen.
2. Siapkan sterilized swab 
4. Masukan sterilized swab ke hidung. 
5. Masukan sterilized swab yang sudah memiliki sample Anda ke extraction tube. Putar hingga 5kali. Diamkan selama 1 menit 
6. Angkat sterilized swab dan pasang tutup dropper pada extraction tube. 
7. Buka kemasan Cassette.
8. Teteskan cairan (3-4 tetes) ke test cassettes yang bertanda S. 
9. Tunggu hingga hasil pemeriksaan keluar. "

Safety Thermometer Digital MC-201,Alat Kesehatan, Thermometer Safety MC-201 merupakan alat pengukur suhu tubuh. Termometer ini menyatakan suhu tubuh dengan angka pada layarnya sehingga penggunaannya praktis dan mudah. ," Alat ini digunakan untuk mengukur suhu tubuh digital melalui mulut, ketiak, atau rektal dengan layar LCD untuk menampilkan hasil pengukuran yang menawarkan akurasi, keamanan dan kecepatan dalam pengukuran temperatur. ", Sesuai kebutuhan ," 1. Nyalakan termometer dengan menekan atau menggeser tombol ON. 
2. Masukkan termometer secara perlahan dan hati-hati ke dalam mulut, lipatan ketiak atau liang telinga anak. Untuk pengukuran melalui anus, pastikan sudah memberi cukup pelumas. 
3. Biarkan selama 3 sampai 5 menit atau tunggu sampai ada bunyi yang menunjukkan pengukuran suhu sudah selesai dilakukan. 
4. Setelah itu, ambil termometer dan baca hasil yang tertera pada layar. "

Newlungene Covid-19 Antigen Rapid Test Casette,Alat Kesehatan, Newlungene Covid-19 Antigen Rapid Test Casette merupakan alat swab test antigen yang ditujukan untuk pemeriksaan secara kualitatif antigen nukleokapsid SARS Cov-2 pada swab nasofaring dari individu yang diduga terpapar Covid. ," Sebagai alat kesehatan in vitro diagnostik tes cepat untuk mendeteksi Antigen SARS-COV-2 pada pasien yang diduga terinfeksi COVID-19.
Dalam 1 kit di lengkapi dengan : 1 Pcs Test Cassettes (dikemas individual pouch alumunium foil), 1 Pcs Extraction tubes, 1 Pcs Sterilize swabs, 1 Pcs Dropper tips, 1 Pcs Extraction reagents. ", 0 ," Pemeriksaan hanya dilakukan oleh profesional/penyedia layanan kesehatan. 
Pengambilan Sampel swab melalui Nasofaring (Hidung): - Hadapkan kepala ke atas, sudut 45 derajat. - Masukan sterilized swab sampai ujung hidung, di lubang hidung kanan atau kiri. - Putar 3 kali ke kanan dan 3 kali ke kiri. 

Cara Pemakaian Swab Antigen Rapid Test : 
1. Teteskan cairan reagents ke dalam extraction tube. 
2. Keluarkan cassettes test dari kemasan. 
3. Siapkan sterilized swab dan penutup extraction tube. 
4. Masukan sterilized swab ke mulut atau hidung. 
5.Masukan sterilized swab yang sudah memiliki sample Anda ke extraction tube. Putar hingga 1-2 menit. 
6. Pasang tutup dropper pada extraction tube. 
7. Teteskan cairan (3-4 tetes) ke test cassettes yang bertanda S. 
8. Tunggu hingga hasil pemeriksaan keluar. "

Andalan Strip Uji Kehamilan,Alat Kesehatan," ANDALAN STRIP UJI KEHAMILAN merupakan strip uji kehamilan yang digunakan untuk mendeteksi kehamilan secara cepat dan akurat. Strip ini dapat memperoleh hasil dalam waktu 1 sampai 3 menit dengan tingkat akurasi 99%. Andalan Strip Uji Kehamilan bekerja dengan cara mendeteksi hCG (human Chorionic Gonadotropin), yaitu suatu hormon yang diproduksi oleh sel telur dimana sudah dibuahi dan menempel di dinding rahim, dimana hormon ini akan meningkat dua kali lipat ketika hamil di dalam urin. ", Tes Strip untuk mengetahui kehamilan secara dini. , Sesuai kebutuhan ," Pengujian dapat dilakukan minimal 7 hari setelah berhubungan. Tahapnya dapat dilakukan dengan cara menampung urine pertama yang keluar di pagi hari, kemudian strip dicelupkan ke dalamnya. Dalam waktu 1-3 menit hasil tes dapat terlihat. ( Dua garis : Positif, Satu garis : Negatif) "

One Med Test Kehamilan Strip,Alat Kesehatan," ONE MED TEST KEHAMILAN STRIP adalah alat uji kehamilan yang sangat mudah digunakan dan mempunyai sensitifitas 20 mIU dan akurasi 99.9%. ONE MED TEST KEHAMILAN STRIP sangat praktis dan cepat untuk mengetahui hasil kehamilan. Untuk mendapatkan hasil yang akurat sebaiknya digunakan setelah 7 hari berhubungan. Strip ini bekerja dengan cara mendeteksi tingkat kadar hormon hCG (human Chorionic Gonadotrophin) pada air seni, dimana hormon hCG akan meningkat pada saat awal kehamilan. ", Tes Strip untuk mengetahui kehamilan secara dini. , Sesuai kebutuhan ," Pengujian dapat dilakukan minimal 7 hari setelah berhubungan. Tahapnya dapat dilakukan dengan cara menampung urine pertama yang keluar di pagi hari, kemudian strip dicelupkan ke dalamnya. Dalam waktu 1-3 menit hasil tes dapat terlihat. ( Dua garis : Positif, Satu garis : Negatif) "

Seinofy Covid-19 Antigen Rapid Test (Nasopharyngeal) 1 Kit,Alat Kesehatan," Seinofy Covid-19 Antigen Rapid Test (Nasopharyngeal) 1 Kit merupakan alat swab test antigen yang ditujukan untuk pemeriksaan secara kualitatif antigen nukleokapsid SARS Cov-2 pada swab orofaringeal atau nasofaring dari individu yang diduga terpapar Covid. Antigen adalah zat asing yang dapat memicu sistem kekebalan tubuh untuk membentuk reaksi perlawanan berupa antibodi. Tes rapid antigen bertujuan untuk mendeteksi antigen tersebut, yaitu dengan memeriksa sampel dari lendir tenggorokan atau hidung pasien. "," Sebagai alat kesehatan in vitro diagnostik tes cepat untuk mendeteksi Antigen SARS-COV-2 pada pasien yang diduga terinfeksi COVID-19.
Dalam 1 kit di lengkapi dengan : 1 Pcs Test Cassettes (dikemas individual pouch alumunium foil), 1 Pcs Extraction tubes, 1 Pcs Sterilize swabs, 1 Pcs Dropper tips, 1 Pcs Extraction reagents. ",-," Pemeriksaan sebaiknya dilakukan oleh penyedia layanan kesehatan. Pengambilan Sampel melalui Nasopharyngeal (Hidung):
Masukan swab steril dengan hati-hati ke dalam lubang hidung. Kedalaman usap kurang lebih 8 cm dari tepi hidung. Putar sebanyak 5 kali.


Pengambilan Sampel melalui Orofaring (Tenggorokan):
Masukan swab steril dengan hati-hati ke belakang tonsil dan hindarkan swab menyentuh bagian lidah. Putar sebanyak 5 kali.


Cara Pemakaian Swab Seinofy Covid-19 Antigen Rapid Test menggunakan prosedur uji usap Nasofaring/ usap Orofaringeal:
1. Letakkan semua spesimen, alat uji, dan larutan uji pada suhu kamar sebelum pengujian (15-30 menit).
2. Letakkan perangkat di permukaan yang rata.
3. Isi tabung Ekstraksi dengan larutan Ekstraksi.
4. Masukkan sampel swab Nasopharyngeal (dan orofaringeal) ke dalam larutan ekstraksi, kemudian campur swab sebanyak 8-10 kali.
5. Lepaskan penyeka sambil menekan tabung larutan untuk mengekstrak sebagian besar spesimen.
6.Tempatkan tutup penetes dan teteskan 4 tetes (kurang lebih 100 mikroliter.) ke dalam sumur sampel atau bagian yang bertanda [S]
7.Setelah 15-20 menit, interpretasikan hasil tes. Harap jangan membaca hasil setelah 20 menit dari pengujian ini.Â 


*Penggunaan swab orofaringeal adalah bersifat opsional* "

Thermo One Thermometer Alpha 1,Alat Kesehatan," Thermometer Digital merek Thermo One Alpha 1 OneMed mudah digunakan, Layar LCD lebar serta dilengkapi tutup pelindung. Ada alarm pada akhir pengukuran suhu dan memori pengukuran terakhir, mati otomatis sesaat setelah tidak digunakan. ", Untuk mengukur suhu , Sesuai kebutuhan ," Tekan tombol ON/OFF sampai di sebelah layar muncul tanda L dan C yang berkedip-kedip, pengukuran siap dilakukan.  
Letakkan tip sensor pada bagian yang diukur (mulut/ketiak/anus).  
Terdengar bunyi ""bip bip"" pengukuran selesai dan hasil bisa dibaca (lama pengukuran +/- 1 menit).  
Tekan tombol ON/OFF untuk mematikan, atau akan mati sendiri setelah 10 menit tidak digunakan. "

Spuit 1 cc,Alat Kesehatan, SPUIT 1 CC merupakan peralatan medis suntik yang digunakan untuk menyuntikkan cairan obat. , Alat medis suntik ini digunakan untuk menyuntikkan cairan obat. , Sesuai kebutuhan ," Buka kemasan (plastik). Cek bahwa karet ditabung berfungsi dengan baik dengan melakukan pompa stik naik dan turun yang berada di tabung alat suntik. Dalam pengaturan memasukan cairan ke alat suntik, pastikan gelembung udara di alat suntik tidak ada dengan cara tegakan alat suntik tegak lurus dan dorong pelan stik di tabung ke dalam hingga tidak ada udara. "

Akurat Test Kehamilan Strip,Alat Kesehatan," AKURAT TEST KEHAMILAN STRIP merupakan alat uji kehamilan atau disebut juga Testpack yang berbentuk strip. Testpack ini digunakan untuk mendeteksi dini kehamilan dengan cepat dan akurat. Akurat Test Kehamilan bekerja dengan cara mendeteksi hCG (human Chorionic Gonadotropin), yaitu suatu hormon yang diproduksi oleh sel telur dimana sudah dibuahi dan menempel di dinding rahim, dimana hormon ini akan meningkat dua kali lipat ketika hamil di dalam urin. ", Tes Strip untuk mengetahui kehamilan secara dini. , Sesuai kebutuhan ," Pengujian dapat dilakukan minimal 7 hari setelah berhubungan. Tahapnya dapat dilakukan dengan cara menampung urine pertama yang keluar di pagi hari, kemudian strip dicelupkan ke dalamnya. Dalam waktu 1-3 menit hasil tes dapat terlihat. ( Dua garis : Positif, Satu garis : Negatif) "

Transofix,Alat Kesehatan," TRANSOFIX merupakan alat penyambung antar plabot. Memiliki diameter internal yang besar, dapat mengalirkan dengan mudah, dapat menghubungkan 2 plabot secara aman, cocok untuk sumbat karet 6,3 mm. ", Sebagai alat penyambung Plabot ,-, Sambungkan transofix ke botol cairan infus dengan cara menusuk tutup pada cairan infus 

Spuit 3 cc,Alat Kesehatan, SPUIT 3 CC merupakan peralatan medis suntik yang digunakan untuk menyuntikkan cairan. , Alat medis suntik yang digunakan untuk menyuntikkan cairan. , Sesuai kebutuhan ," Buka kemasan (plastik). Cek bahwa karet ditabung berfungsi dengan baik dengan melakukan pompa stik naik dan turun yang berada di tabung alat suntik. Dalam pengaturan memasukan cairan ke alat suntik, pastikan gelembung udara di alat suntik tidak ada dengan cara tegakan alat suntik tegak lurus dan dorong pelan stik di tabung ke dalam hingga tidak ada udara. "

Spuit without Needle 20 cc,Alat Kesehatan," Spuit without Needle 20 cc merupakan peralatan medis suntik tanpa jarum yang digunakan untuk menyuntikkan cairan obat, susu, atau vitamin "," Untuk menyuntikkan cairan obat, susu, atau vitamin ke bayi atau hewan ", Sesuai kebutuhan ," Buka kemasan (plastik). Cek bahwa karet ditabung berfungsi dengan baik dengan melakukan pompa stik naik dan turun yang berada di tabung alat suntik. Dalam pengaturan memasukan cairan ke alat suntik, pastikan gelembung udara di alat suntik tidak ada dengan cara tegakan alat suntik tegak lurus dan dorong pelan stik di tabung ke dalam hingga tidak ada udara. "

Akurat Test Kehamilan Compact,Alat Kesehatan," AKURAT TEST KEHAMILAN COMPACT merupakan alat uji kehamilan berbentuk stick. Alat ini digunakan untuk mendeteksi dini kehamilan dengan cepat dan akurat. Akurat Test Kehamilan bekerja dengan cara mendeteksi hCG (human Chorionic Gonadotropin), yaitu suatu hormon yang diproduksi oleh sel telur dimana sudah dibuahi dan menempel di dinding rahim, dimana hormon ini akan meningkat dua kali lipat ketika hamil di dalam urin. ", Alat untuk mengetahui kehamilan secara dini. , Sesuai kebutuhan ," Pengujian dapat dilakukan minimal 7 hari setelah berhubungan. Tahapnya dapat dilakukan dengan cara menampung urine pertama yang keluar di pagi hari, kemudian teteskan urin pada stick. Dalam waktu 1-3 menit hasil tes dapat terlihat. ( Dua garis : Positif, Satu garis : Negatif) "

Indoswab Covid-19 Antigen Rapid Test Cassette 1 Kit,Alat Kesehatan," Indoswab Covid-19 Antigen Rapid Test Cassette 1 Kit merupakan alat swab test antigen yang ditujukan untuk pemeriksaan secara kualitatif antigen nukleokapsid SARS Cov-2 pada swab nasofaring, dan swab nasal dari individu yang diduga terpapar Covid. "," Sebagai alat kesehatan in vitro diagnostik tes cepat untuk mendeteksi Antigen SARS-COV-2 pada pasien yang diduga terinfeksi COVID-19.
Dalam 1 kit di lengkapi dengan : 1 Pcs Test Cassettes (dikemas individual pouch alumunium foil), 1 Pcs Extraction tubes with reagent, 1 Pcs Dropper Tips, 1 Pcs Sterilize swabs ",-," Pemeriksaan sebaiknya dilakukan oleh penyedia layanan kesehatan. 
Pengambilan Sampel swab melalui Nasofaring (Hidung): - Hadapkan kepala ke atas, sudut 45 derajat. - Masukan sterilized swab sampai ujung hidung, di lubang hidung kanan atau kiri. - Putar 3 kali ke kanan dan 3 kali ke kiri. 
Pengambilan Sampel swab melalui Nasal (Hidung): Masukan swab steril dengan hati-hati ke dalam lubang hidung. Kedalaman usap kurang lebih 2 cm. Putar 5 kali.

Cara Pemakaian Swab Antigen Rapid Test : 
1. Teteskan cairan reagents ke dalam extraction tube. 
2. Keluarkan cassettes test dari kemasan. 
3. Siapkan sterilized swab dan penutup extraction tube. 
4. Masukan sterilized swab ke mulut atau hidung. 
5. Masukan sterilized swab yang sudah memiliki sample Anda ke extraction tube. Putar hingga 1-2 menit. 
6. Pasang tutup dropper pada extraction tube. 
7. Teteskan cairan (3-4 tetes) ke test cassettes yang bertanda S. 
8. Tunggu hingga hasil pemeriksaan keluar. "

Omron Digital Thermometer MC-246,Alat Kesehatan," OMRON DIGITAL THERMOMETER MC-246 merupakan alat pengukur suhu tubuh digital dengan layar LCD untuk menampilkan hasil pengukuran yang menawarkan akurasi, keamanan dan kecepatan dalam pengukuran temperatur. Alat ini menawarkan pengukuran aktual yang cepat, yaitu: 80 detik jika melalui mulut, 60 detik jika melalui dubur, dan 120 detik jika melalui ketiak. Selain itu, Omron digital termometer memiliki fitur sebagai berikut: 
- Mengukur suhu aktual dalam C and F. 
- Memori penyimpanan hasil pengukuran suhu terakhir. 
- Tahan air sehingga mudah dibersihkan. 
 - Buzzer: dapat berbunyi ketika pengukuran telah selesai. 
 - Baterai dapat diganti. "," Alat ini digunakan untuk mengukur suhu tubuh digital melalui mulut, ketiak, atau rektal dengan layar LCD untuk menampilkan hasil pengukuran yang menawarkan akurasi, keamanan dan kecepatan dalam pengukuran temperatur. ", Sesuai kebutuhan ," 1. Nyalakan termometer dengan menekan atau menggeser tombol ON. 
 2. Masukkan termometer secara perlahan dan hati-hati ke dalam mulut, lipatan ketiak atau liang telinga anak. Untuk pengukuran melalui anus, pastikan sudah memberi cukup pelumas. 
 3. Biarkan selama 3 sampai 5 menit atau tunggu sampai ada bunyi yang menunjukkan pengukuran suhu sudah selesai dilakukan. 
 4. Setelah itu, ambil termometer dan baca hasil yang tertera pada layar. "

Spuit 5 cc,Alat Kesehatan, SPUIT 5 CC merupakan peralatan medis suntik yang digunakan untuk menyuntikkan cairan obat. , Alat medis suntik ini digunakan untuk menyuntikkan cairan obat. , Sesuai kebutuhan ," Buka kemasan (plastik). Cek bahwa karet ditabung berfungsi dengan baik dengan melakukan pompa stik naik dan turun yang berada di tabung alat suntik. Dalam pengaturan memasukan cairan ke alat suntik, pastikan gelembung udara di alat suntik tidak ada dengan cara tegakan alat suntik tegak lurus dan dorong pelan stik di tabung ke dalam hingga tidak ada udara. "

Thermometer Digital,Alat Kesehatan, THERMOMETER DIGITAL merupakan alat pengukur suhu tubuh. Termometer ini menyatakan suhu tubuh dengan angka pada layarnya sehingga penggunaannya praktis dan mudah. ," Alat ini digunakan untuk mengukur suhu tubuh digital melalui mulut, ketiak, atau rektal dengan layar LCD untuk menampilkan hasil pengukuran yang menawarkan akurasi, keamanan dan kecepatan dalam pengukuran temperatur. ", Sesuai kebutuhan ," 1. Nyalakan termometer dengan menekan atau menggeser tombol ON. 
2. Masukkan termometer secara perlahan dan hati-hati ke dalam mulut, lipatan ketiak atau liang telinga anak. Untuk pengukuran melalui anus, pastikan sudah memberi cukup pelumas. 
3. Biarkan selama 3 sampai 5 menit atau tunggu sampai ada bunyi yang menunjukkan pengukuran suhu sudah selesai dilakukan. 
4. Setelah itu, ambil termometer dan baca hasil yang tertera pada layar. "

Altamed Covid-19 Rapid Test Kit Antigen,Alat Kesehatan," Altamed Covid-19 Rapid Test Kit Antigen merupakan alat test visual immunoassay yang cepat untuk deteksi kualitatif, dugaan antigen COVID-19 dari swab nasofaring. Tes ini dimaksudkan untuk digunakan sebagai bantuan dalam diagnosis banding yang cepat untuk infeksi virus Covid-19. "," Sebagai alat kesehatan in vitro diagnostik tes cepat untuk mendeteksi Antigen SARS-COV-2 pada pasien yang diduga terinfeksi COVID-19.
Dalam 1 Kit Test terdiri dari :
- 1 Pcs Test Device (dikemas individual pouch alumunium foil)
- 1 Pcs Larutan Ekstraksi Buffer
- 1 Pcs Sterile Swab
- 1 Pcs Tabung Ekstraksi
- 1 Pcs Nozzle Cap ",-," Pemeriksaan hanya dilakukan oleh profesional. 
Pengambilan Sampel swab melalui Nasofaring (Hidung) : Masukan swab steril dengan hati-hati ke dalam lubang hidung yang menunjukkan sekresi paling banyak dengan inspeksi visual. Letakkan swab di dekat dasar septum hidung sambil mendorong swab dengan lembut ke dalam nasofaring posterior. Putar swab beberapa kali

Cara Pemakaian Swab Antigen Rapid Test : 
1. Keluarkan tes device dari kantungnya yang tertutup rapat, dan letakkan di atas permukaan yang bersih dan rata. Beri label perangkat dengan identifikasi pasien atau kontrol. Untuk hasil terbaik, pengujian harus dilakukan dalam waktu satu jam
2.Campur perlahan larutan reagen ekstraksi. Tambahkan 6 tetes (sekitar 200 ul) larutan ekstraksi ke dalam tabung ekstraksi.
3. Tempatkan spesimen swab pasien ke dalam tabung ekstraksi. Gulung swab setidaknya 10 kali sambil menekan swab ke bagian bawah dan samping tabung ekstraksi. Gulung kepala swab ke bagian dalam tabung ekstraksi saat anda melepaskannya. Cobalah untuk mengeluarkan cairan sebanyak mungkin. Buang swab bekas sesuai dengan protokol pembuangan limbah biohazard anda.
4. Letakkan di ujung tabung, lalu tambahkan 4 tetes sampel yang telah diekstrak ke dalam sampel dengan baik. Jangan pegang atau pindahkan perangkat uji sampai tes selesai dan siap untuk dibaca.
5. Saat tes mulai bekerja, warna akan berpindah melintasi membran. Tunggu hingga pita bewarna muncul. Hasilnya harus dibaca pada 10 menit. Jangan menafsirkan hasilnya setelah 20 menit.
 "

Omron Digital Thermometer MC-245,Alat Kesehatan," OMRON DIGITAL THERMOMETER MC-245 merupakan alat pengukur suhu tubuh digital dengan layar LCD untuk menampilkan hasil pengukuran yang menawarkan akurasi, keamanan dan kecepatan dalam pengukuran temperatur. Alat ini menawarkan pengukuran aktual yang cepat, yaitu: 80 detik jika melalui mulut, 60 detik jika melalui dubur, dan 120 detik jika melalui ketiak. Selain itu, Omron digital termometer memiliki fitur sebagai berikut: 
- Mengukur suhu aktual dalam C and F. 
- Memori penyimpanan hasil pengukuran suhu terakhir. 
- Tahan air sehingga mudah dibersihkan. 
 - Buzzer: dapat berbunyi ketika pengukuran telah selesai. 
 - Baterai dapat diganti. "," Alat ini digunakan untuk mengukur suhu tubuh digital melalui mulut, ketiak, atau rektal dengan layar LCD untuk menampilkan hasil pengukuran yang menawarkan akurasi, keamanan dan kecepatan dalam pengukuran temperatur. ", Sesuai kebutuhan ," 1. Nyalakan termometer dengan menekan atau menggeser tombol ON. 
2. Masukkan termometer secara perlahan dan hati-hati ke dalam mulut, lipatan ketiak atau liang telinga anak. Untuk pengukuran melalui anus, pastikan sudah memberi cukup pelumas. 
3. Biarkan selama 3 sampai 5 menit atau tunggu sampai ada bunyi yang menunjukkan pengukuran suhu sudah selesai dilakukan. 
4. Setelah itu, ambil termometer dan baca hasil yang tertera pada layar. "

Onestep HIV Test,Alat Kesehatan, ONESTEP HIV merupakan alat deteksi awal virus HIV melalui sampel darah. Alat ini bekerja secara Qualitatif dan tidak dapat digunakan sebagai konfirmasi final atau pengganti hasil uji labboratorium. ONESTEP HIV dapat mendeteksi HIV tipe 1 & 2 melalui tetesan darah. , Pengujian Invitro HIV melalui tetesan darah. ,-, Buka kemasan foil yang terdiri atas Cassette berbentuk persegi dan Pipette Plastik untuk mengambil darah. Buka kemasan alcohol pad. Usapkan alcohol pad di bagian jari yang hendak diambil sampel darah. Gunakan jari telunjuk / jari tengah / jari manis untuk hasil maksimal. Buka tutup lancet dan arahkan pada jari yang telah diberikan alkohol. Tekan lancet hingga jari mengeluarkan titik darah. Ambil sampel darah dengan pipette plastik. Pencet pipet agar darah terambil sempurna. Gunakan bekas alkohol untuk membersihkan jarinya. Teteskan darah dari pipette ke cassette di area cawan yang berbentuk huruf S. Siapkan cairan buffer dan teteskan 1-2 tetes ke cawan casette yang telah diberi darah. Tunggu hasil dalam 10-15 menit.   

